,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
8690,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3444,5612,2809
8691,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 7}",2897,4642,1820
8692,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 8}",2922,3281,2072
8693,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8, 'model__n_estimators': 9}",2300,3977,1284
8694,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9187,8199,9484
8695,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2}",7748,7870,7772
8696,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3}",5733,5944,5788
8697,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 4}",5129,5559,5267
8698,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4187,4454,4555
8699,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3513,3062,3372
8700,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2727,1618,2742
8701,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 8}",2583,1634,2530
8702,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 9}",1191,1340,1219
8703,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9090,8231,9389
8704,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 2}",7274,7571,7422
8705,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 3}",5569,6265,5701
8706,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 4}",5053,5385,5197
8707,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4191,4686,4570
8708,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3545,3205,3403
8709,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2960,1775,2919
8710,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 8}",2654,1353,2578
8711,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 9}",1392,1417,1527
8712,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9078,8335,9346
8713,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 2}",7388,7598,7316
8714,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 3}",5574,6286,5626
8715,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 4}",5077,5494,5041
8716,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4257,4977,4500
8717,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3547,3813,3312
8718,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 7}",3016,2242,2769
8719,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 8}",2958,2046,2660
8720,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 9}",1892,1725,1581
8721,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9062,8283,9239
8722,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 2}",7362,7660,7160
8723,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 3}",5397,6407,5537
8724,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 4}",4983,5748,4945
8725,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4338,5103,4456
8726,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 6}",3703,4296,3343
8727,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 7}",3101,2054,2788
8728,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 8}",3014,2159,2656
8729,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 9}",1738,1623,1360
8730,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9040,8419,9195
8731,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 2}",7447,7830,7181
8732,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 3}",5637,6307,5586
8733,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 4}",5073,5791,4962
8734,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4471,5297,4502
8735,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3745,4058,3305
8736,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 7}",3289,2529,2845
8737,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 8}",3099,2434,2568
8738,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 9}",2142,2213,1600
8739,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9032,8479,9148
8740,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 2}",7626,7995,7199
8741,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 3}",5655,6525,5555
8742,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 4}",5061,6254,4932
8743,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4487,5715,4532
8744,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 6}",3687,5204,3282
8745,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 7}",3277,3060,2790
8746,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 8}",3044,2815,2560
8747,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 9}",1984,2741,1579
8748,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9042,8507,9150
8749,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 2}",7772,8023,7243
8750,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 3}",5690,6968,5485
8751,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5057,6693,4874
8752,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4529,5928,4513
8753,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3735,5432,3318
8754,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 7}",3188,3829,2721
8755,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 8}",3022,3265,2533
8756,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 9}",1548,2715,1192
8757,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 1}",9018,8411,9208
8758,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 2}",7245,7475,7010
8759,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 3}",5345,5917,5561
8760,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 4}",4891,4994,4982
8761,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4144,4182,4458
8762,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3474,3091,3216
8763,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2695,1787,2524
8764,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 8}",2636,1439,2512
8765,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 9}",1225,1305,1314
8766,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 1}",9018,8411,9208
8767,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 2}",7245,7475,7010
8768,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 3}",5345,5917,5561
8769,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 4}",4891,4994,4982
8770,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4144,4182,4458
8771,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3474,3091,3216
8772,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2695,1787,2524
8773,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 8}",2636,1439,2512
8774,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 9}",1225,1305,1314
8775,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 1}",9018,8411,9208
8776,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 2}",7245,7475,7010
8777,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 3}",5345,5917,5561
8778,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 4}",4891,4994,4982
8779,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 5}",4144,4182,4458
8780,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 6}",3474,3091,3216
8781,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 7}",2695,1787,2524
8782,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 8}",2636,1439,2512
8783,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 9}",1225,1305,1314
8784,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 1}",9012,8491,9179
8785,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 2}",7282,7584,6990
8786,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 3}",5375,6366,5535
8787,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 4}",4965,5557,5039
8788,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 5}",4453,5124,4662
8789,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 6}",3720,4158,3546
8790,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 7}",3096,2105,2872
8791,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 8}",2964,1807,2824
8792,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 9}",1526,1334,1757
8793,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 1}",9002,8499,9146
8794,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 2}",7373,7728,7054
8795,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 3}",5546,5965,5491
8796,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 4}",5085,5984,5045
8797,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 5}",4481,5374,4557
8798,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 6}",3647,4640,3284
8799,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 7}",3146,2319,2609
8800,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 8}",2956,1953,2590
8801,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 9}",1510,1809,1312
8802,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 1}",9010,8505,9129
8803,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 2}",7697,7850,7146
8804,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 3}",5621,6231,5498
8805,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 4}",5055,6270,4964
8806,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 5}",4491,5670,4505
8807,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 6}",3682,5101,3226
8808,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 7}",3152,2515,2615
8809,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 8}",3204,2503,2623
8810,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 9}",1967,2062,1571
8811,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 1}",9007,8559,9088
8812,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 2}",7738,7838,7056
8813,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 3}",5682,6611,5479
8814,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 4}",5101,6600,4881
8815,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 5}",4479,5931,4442
8816,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 6}",3712,5286,3222
8817,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 7}",3228,3422,2565
8818,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 8}",3155,2566,2540
8819,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 9}",1888,2351,1342
8820,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 1}",8954,8421,8756
8821,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 2}",7399,7753,6650
8822,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 3}",5381,7094,5099
8823,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 4}",4769,6864,4592
8824,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 5}",4099,5877,3736
8825,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 6}",3444,5612,2809
8826,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 7}",2897,4642,1820
8827,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 8}",2922,3281,2072
8828,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 9}",2300,3977,1284
8829,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 1}",8954,8421,8756
8830,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 2}",7399,7753,6650
8831,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 3}",5381,7094,5099
8832,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 4}",4769,6864,4592
8833,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 5}",4099,5877,3736
8834,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 6}",3444,5612,2809
8835,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 7}",2897,4642,1820
8836,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 8}",2922,3281,2072
8837,"{'model__bootstrap': False, 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 9}",2300,3977,1284
